nodeID, floor, Type, X, Y, EdgeID, Weight
102,1,FINAL,-36,38,1000,3
105,1,FINAL,9,29,1008,1
110,1,FINAL,-26,51,1000,3
112,1,FINAL,-10,8,1006,1
1000,1,SECTION,-26,38,102,3
1000,1,SECTION,-26,38,110,3
1000,1,SECTION,-26,38,1001,2
1001,1,SECTION,-20,38,1000,2
1001,1,SECTION,-20,38,8100,3
1001,1,SECTION,-20,38,1002,2
1002,1,SECTION,-14,38,1001,2
1002,1,SECTION,-14,38,8101,3
1002,1,SECTION,-14,38,1003,1
1003,1,SECTION,-10,35,1002,1
1003,1,SECTION,-10,35,1004,2
1003,1,SECTION,-10,35,1007,1
1004,1,SECTION,-10,29,1005,2
1004,1,SECTION,-10,29,1003,2
1004,1,SECTION,-10,29,9001,1
1005,1,SECTION,-10,21,1006,2
1005,1,SECTION,-10,21,1101,1
1005,1,SECTION,-10,21,1004,2
1006,1,SECTION,-10,14,112,1
1006,1,SECTION,-10,14,1100,1
1006,1,SECTION,-10,14,1005,2
1007,1,SECTION,-5,36,1003,1
1007,1,SECTION,-5,36,8102,3
1007,1,SECTION,-5,36,1008,3
1008,1,SECTION,10,36,105,1
1008,1,SECTION,10,36,1007,3
1008,1,SECTION,10,36,8103,3
1008,1,SECTION,10,36,1009,5
1009,1,SECTION,35,36,1008,5
1009,1,SECTION,35,36,8104,3
1100,1,FINAL,-4,14,1006,1
1101,1,FINAL,-4,21,1005,1
8100,1,FINAL,-20,51,1001,3
8101,1,FINAL,-14,51,1002,3
8102,1,FINAL,-5,49,1007,3
8103,1,FINAL,10,49,1008,3
8104,1,FINAL,35,49,1009,3
9001,1,TRANSITION,0,0,1004,1
208,2,FINAL,10,-40,2019,1
214,2,FINAL,-35,-22,2007,1
221,2,FINAL,-10,-22,2013,1
222,2,FINAL,-23,-22,2009,1
223,2,FINAL,-30,-22,2008,1
225,2,FINAL,-61,-17,2004,1
226,2,FINAL,-74,-7,2261,0
226,2,FINAL,-74,-7,2260,0
227,2,FINAL,-73,-15,2058,1
229,2,FINAL,-86,-17,2000,1
249,2,FINAL,28,64,2033,1
254,2,FINAL,83,-42,2057,1
255,2,FINAL,75,-12,2046,1
268,2,FINAL,69,43,2052,1
2000,2,SECTION,-82,-17,229,1
2000,2,SECTION,-82,-17,2260,2
2000,2,SECTION,-82,-17,2001,2
2000,2,SECTION,-82,-17,2058,2
2001,2,SECTION,-82,-28,8200,3
2001,2,SECTION,-82,-28,2000,2
2001,2,SECTION,-82,-28,2002,1
2002,2,SECTION,-78,-28,2001,1
2002,2,SECTION,-78,-28,2100,1
2002,2,SECTION,-78,-28,2003,3
2003,2,SECTION,-65,-28,2002,3
2003,2,SECTION,-65,-28,2005,1
2003,2,SECTION,-65,-28,2004,2
2004,2,SECTION,-65,-17,2058,2
2004,2,SECTION,-65,-17,2261,2
2004,2,SECTION,-65,-17,225,1
2004,2,SECTION,-65,-17,2003,2
2005,2,SECTION,-62,-27,2003,1
2005,2,SECTION,-62,-27,2006,0
2006,2,SECTION,-60,-27,2005,0
2006,2,SECTION,-60,-27,2101,1
2006,2,SECTION,-60,-27,2007,5
2007,2,SECTION,-35,-27,214,1
2007,2,SECTION,-35,-27,2008,1
2007,2,SECTION,-35,-27,2006,5
2008,2,SECTION,-30,-27,2007,1
2008,2,SECTION,-30,-27,2009,1
2008,2,SECTION,-30,-27,223,1
2009,2,SECTION,-23,-27,2008,2
2009,2,SECTION,-23,-27,2010,1
2009,2,SECTION,-23,-27,222,1
2010,2,SECTION,-20,-27,2011,3
2010,2,SECTION,-20,-27,2009,1
2010,2,SECTION,-20,-27,2013,2
2011,2,SECTION,-20,-43,2010,3
2011,2,SECTION,-20,-43,2012,1
2012,2,SECTION,-25,-43,2011,1
2012,2,SECTION,-25,-43,8201,1
2013,2,SECTION,-10,-28,2010,2
2013,2,SECTION,-10,-28,221,1
2013,2,SECTION,-10,-28,2014,2
2014,2,SECTION,-2,-27,2013,2
2014,2,SECTION,-2,-27,2015,2
2014,2,SECTION,-2,-27,2018,3
2015,2,SECTION,-2,-37,2014,2
2015,2,SECTION,-2,-37,2016,1
2015,2,SECTION,-2,-37,2102,1
2016,2,SECTION,-2,-43,2015,1
2016,2,SECTION,-2,-43,2103,1
2018,2,SECTION,12,-27,2104,2
2018,2,SECTION,12,-27,2019,2
2019,2,SECTION,10,-36,208,1
2019,2,SECTION,10,-36,2018,2
2019,2,SECTION,10,-36,9002,1
2020,2,SECTION,20,-27,2018,2
2020,2,SECTION,20,-27,2022,2
2020,2,SECTION,20,-27,205,1
2021,2,SECTION,28,-20,2022,1
2021,2,SECTION,28,-20,205,1
2021,2,SECTION,28,-20,2026,1
2022,2,SECTION,28,-27,2020,2
2022,2,SECTION,28,-27,2021,1
2022,2,SECTION,28,-27,2023,1
2023,2,SECTION,28,-35,2022,1
2023,2,SECTION,28,-35,2024,2
2023,2,SECTION,28,-35,8202,5
